FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,53463,211086,264549,0.0114,116033,-0.0035
2025,R4,2,53463,208109,261572,-0.0204,116437,0.0026
2024,R4,2,53463,213554,267017,0.0415,116136,0.014
2023,R4,2,53463,202920,256383,0.0694,114533,0.0616
2022,R4,2,53463,186285,239748,-0.1089,107886,-0.0416
2021,R4,2,53463,215576,269039,0.0419,112573,0.0261
2020,R4,2,53463,204766,258229,0.0362,109706,0.0336
2019,R4,2,53463,195744,249207,0.0507,106144,0.0266
2018,R4,2,53463,183710,237173,0.2179,103395,0.2513
2017,R4,2,53463,141270,194733,,82631,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Apr 30 2020 00:00:00 GMT-0400 (Eastern Daylight Time),-,"54 FOUR THREE TWO PA, LLC","PENTHOUSE FOUR THREE TWO PA, LLC",-,COMMERCIAL CONDO UNIT(S),2020060200742001,Tue Jun 02 2020 16:17:00 GMT-0400 (Eastern Daylight Time)
DEED,Thu Aug 18 2016 00:00:00 GMT-0400 (Eastern Daylight Time),1885247,56TH AND PARK (NY) OWNER LLC,54 FOUR THREE TWO PA LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016082401140001,Tue Aug 30 2016 10:40:18 GMT-0400 (Eastern Daylight Time)
