FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,46534,183730,230264,0.0114,100995,-0.0035
2025,R4,2,46534,181140,227674,-0.0204,101347,0.0026
2024,R4,2,46534,185879,232413,0.0415,101086,0.014
2023,R4,2,46535,176623,223158,0.0694,99691,0.0616
2022,R4,2,46535,162144,208679,-0.1089,93906,-0.0416
2021,R4,2,46535,187639,234174,0.0419,97984,0.0262
2020,R4,2,46535,178229,224764,0.0362,95487,0.0335
2019,R4,2,46535,170377,216912,0.0507,92389,0.0266
2018,R4,2,46535,159902,206437,0.2179,89997,0.2513
2017,R4,2,46535,122963,169498,,71924,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon May 09 2022 00:00:00 GMT-0400 (Eastern Daylight Time),514868,"56TH AND PARK (NY) OWNER, LLC",FR-AM ONE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022052300551001,Fri Jun 03 2022 10:14:35 GMT-0400 (Eastern Daylight Time)
