FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,113648,448710,562358,0.0114,246655,-0.0035
2025,R4,2,113648,442383,556031,-0.0204,247515,0.0026
2024,R4,2,113648,453957,567605,0.0415,246874,0.014
2023,R4,2,113648,431352,545000,0.0694,243468,0.0616
2022,R4,2,113648,395991,509639,-0.1089,229338,-0.0416
2021,R4,2,113648,458255,571903,0.0419,239300,0.0261
2020,R4,2,113648,435275,548923,0.0362,233203,0.0335
2019,R4,2,113648,416098,529746,0.0507,225635,0.0266
2018,R4,2,113648,390516,504164,0.2179,219791,0.2513
2017,R4,2,113648,300302,413950,,175654,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jun 19 2020 00:00:00 GMT-0400 (Eastern Daylight Time),237451,"56TH AND PARK (NY) OWNER, LLC",THE RESIDENTIAL BOARD OF MANAGERS OF 432 PARK COND,-,SINGLE RESIDENTIAL CONDO UNIT,2020062500862001,Fri Jul 31 2020 17:17:51 GMT-0400 (Eastern Daylight Time)
