FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,33401,131878,165279,0.0114,72491,-0.0035
2025,R4,2,33401,130018,163419,-0.0204,72744,0.0026
2024,R4,2,33401,133420,166821,0.0415,72556,0.014
2023,R4,2,33401,126776,160177,0.0694,71554,0.0616
2022,R4,2,33401,116383,149784,-0.1089,67402,-0.0416
2021,R4,2,33401,134683,168084,0.0419,70329,0.0261
2020,R4,2,33401,127929,161330,0.0362,68538,0.0335
2019,R4,2,33401,122293,155694,0.0507,66316,0.0266
2018,R4,2,33401,114774,148175,0.2179,64599,0.2513
2017,R4,2,33401,88260,121661,,51627,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Oct 18 2023 00:00:00 GMT-0400 (Eastern Daylight Time),1825000,432 CROTONA PARK AVENUE LLC,AUGUST 79 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023102000640001,Tue Oct 24 2023 10:18:33 GMT-0400 (Eastern Daylight Time)
DEED,Wed Sep 07 2016 00:00:00 GMT-0400 (Eastern Daylight Time),1862414,56TH AND PARK (NY) OWNER LLC,432 CROTONA PARK AVENUE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016091401522001,Thu Sep 22 2016 09:25:59 GMT-0400 (Eastern Daylight Time)
