FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,170006,671228,841234,0.0114,368975,-0.0035
2025,R4,2,170006,661763,831769,-0.0204,370257,0.0026
2024,R4,2,170006,679077,849083,0.0415,369301,0.014
2023,R4,2,170006,645262,815268,0.0694,364204,0.0616
2022,R4,2,170006,592365,762371,3.1385,343067,3.4508
2021,R4,2,36607,147609,184216,0.0419,77080,0.0261
2020,R4,2,36607,140207,176814,0.0362,75116,0.0335
2019,R4,2,36607,134030,170637,0.0507,72683,0.0266
2018,R4,2,36607,125790,162397,0.2179,70801,0.2513
2017,R4,2,36607,96731,133338,,56583,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Oct 22 2024 00:00:00 GMT-0400 (Eastern Daylight Time),3021035,"56TH AND PARK (NY) OWNER, LLC",BESA 432 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2024102400606001,Mon Oct 28 2024 11:31:27 GMT-0400 (Eastern Daylight Time)
