FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,32988,130244,163232,0.0114,71595,-0.0035
2025,R4,2,32988,128408,161396,-0.0204,71843,0.0026
2024,R4,2,32988,131767,164755,0.0415,71658,0.014
2023,R4,2,32988,125206,158194,0.0694,70669,0.0616
2022,R4,2,32988,114942,147930,-0.1089,66569,-0.0416
2021,R4,2,32988,133015,166003,0.0419,69460,0.0261
2020,R4,2,32988,126345,159333,0.0362,67691,0.0336
2019,R4,2,32988,120778,153766,0.0507,65492,0.0266
2018,R4,2,32988,113353,146341,0.2179,63796,0.2513
2017,R4,2,32988,87167,120155,,50984,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Jun 19 2017 00:00:00 GMT-0400 (Eastern Daylight Time),1449983,56TH AND PARK (NY) OWNER LLC,ATINA EXECUTIVE CORP.,-,SINGLE RESIDENTIAL CONDO UNIT,2017062600189001,Wed Jul 12 2017 11:39:56 GMT-0400 (Eastern Daylight Time)
