FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,30506,120445,150951,0.0114,66207,-0.0035
2025,R4,2,30506,118747,149253,-0.0204,66439,0.0026
2024,R4,2,30506,121854,152360,0.0415,66266,0.014
2023,R4,2,30506,115786,146292,0.0694,65352,0.0616
2022,R4,2,30506,106294,136800,-0.1089,61560,-0.0416
2021,R4,2,30506,123008,153514,0.0419,64234,0.0262
2020,R4,2,30506,116839,147345,0.0362,62597,0.0335
2019,R4,2,30506,111692,142198,0.0507,60567,0.0266
2018,R4,2,30506,104825,135331,0.2179,58998,0.2513
2017,R4,2,30506,80609,111115,,47150,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Dec 29 2017 00:00:00 GMT-0500 (Eastern Standard Time),1316791,"56TH AND PARK (NY) OWNER, LLC","432 EAST RESIDENCE TRUST; JAMES KAUFMAN, AS TRUSTEE",-,SINGLE RESIDENTIAL CONDO UNIT,2018010400019001,Thu Jan 04 2018 16:56:20 GMT-0500 (Eastern Standard Time)
