FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,33039,130449,163488,0.0114,71706,-0.0035
2025,R4,2,33039,128609,161648,-0.0204,71956,0.0026
2024,R4,2,33039,131974,165013,0.0415,71770,0.014
2023,R4,2,33039,125402,158441,0.0694,70780,0.0616
2022,R4,2,33039,115122,148161,-0.1089,66673,-0.0416
2021,R4,2,33039,133223,166262,0.0419,69568,0.0261
2020,R4,2,33039,126543,159582,0.0362,67796,0.0336
2019,R4,2,33039,120968,154007,0.0507,65593,0.0266
2018,R4,2,33039,113530,146569,0.2179,63895,0.2513
2017,R4,2,33039,87303,120342,,51063,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Oct 17 2016 00:00:00 GMT-0400 (Eastern Daylight Time),1490726,"56TH AND PARK (NY) OWNER, LLC",MAFER NEW YORK LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016102700015001,Thu Oct 27 2016 10:09:11 GMT-0400 (Eastern Daylight Time)
