FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,51757,204349,256106,0.0114,112330,-0.0035
2025,R4,2,51757,201467,253224,-0.0204,112721,0.0026
2024,R4,2,51757,206738,258495,0.0415,112430,0.014
2023,R4,2,51757,196444,248201,0.0694,110878,0.0616
2022,R4,2,51757,180340,232097,-0.1089,104444,-0.0416
2021,R4,2,51757,208696,260453,0.0419,108980,0.0261
2020,R4,2,51757,198231,249988,0.0362,106204,0.0336
2019,R4,2,51757,189497,241254,0.0507,102756,0.0266
2018,R4,2,51757,177847,229604,0.2179,100095,0.2513
2017,R4,2,51757,136762,188519,,79994,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jul 29 2021 00:00:00 GMT-0400 (Eastern Daylight Time),1250000,MALLOW ENTERPRISES LLC,432 58AB LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021081100975001,Fri Aug 13 2021 15:28:27 GMT-0400 (Eastern Daylight Time)
DEED,Thu Dec 21 2017 00:00:00 GMT-0500 (Eastern Standard Time),1865210,56TH AND PARK (NY) OWNER LLC,MALLOW ENTERPRISES LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2017122600789003,Thu Dec 28 2017 15:35:44 GMT-0500 (Eastern Standard Time)
