FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,571702,2257229,2828931,0.0114,1240802,-0.0035
2025,R4,2,571702,2225400,2797102,-0.0204,1245122,0.0026
2024,R4,2,571702,2283623,2855325,0.0415,1241904,0.014
2023,R4,2,571702,2169910,2741612,0.0694,1224762,0.0616
2022,R4,2,571702,1992026,2563728,9.7334,1153678,10.5434
2021,R4,2,47465,191391,238856,0.0419,99943,0.0261
2020,R4,2,47465,181794,229259,0.0362,97397,0.0336
2019,R4,2,47465,173784,221249,0.0507,94235,0.0266
2018,R4,2,47465,163100,210565,0.2179,91795,0.2513
2017,R4,2,47465,125422,172887,,73361,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jan 06 2021 00:00:00 GMT-0500 (Eastern Standard Time),19768295,"56TH AND PARK (NY) OWNER, LLC","BBH VENTURES, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2021011400834001,Tue Feb 02 2021 15:06:15 GMT-0500 (Eastern Standard Time)
