FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,348130,1374507,1722637,0.0114,755569,-0.0035
2025,R4,2,348130,1355125,1703255,-0.0204,758200,0.0026
2024,R4,2,348130,1390579,1738709,0.0415,756240,0.014
2023,R4,2,348130,1321335,1669465,0.0694,745802,0.0616
2022,R4,2,348130,1213015,1561145,-0.1089,702516,-0.0416
2021,R4,2,348130,1403745,1751875,0.0419,733034,0.0261
2020,R4,2,348130,1333353,1681483,0.0362,714360,0.0336
2019,R4,2,348130,1274609,1622739,0.0507,691166,0.0266
2018,R4,2,348130,1196245,1544375,0.2179,673263,0.2513
2017,R4,2,348130,919897,1268027,,538057,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Dec 07 2017 00:00:00 GMT-0500 (Eastern Standard Time),15622191,"56TH AND PARK (NY) OWNER, LLC",CORNISH QUARTERS 432 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2017121100990001,Wed Dec 13 2017 12:34:52 GMT-0500 (Eastern Standard Time)
