FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,349526,1380019,1729545,0.0114,758598,-0.0035
2025,R4,2,349526,1360559,1710085,-0.0204,761240,0.0026
2024,R4,2,349526,1396155,1745681,0.0415,759273,0.014
2023,R4,2,349526,1326634,1676160,0.0694,748793,0.0616
2022,R4,2,349526,1217880,1567406,-0.1089,705333,-0.0416
2021,R4,2,349526,1409375,1758901,0.0419,735976,0.0261
2020,R4,2,349526,1338699,1688225,0.0362,717226,0.0336
2019,R4,2,349526,1279721,1629247,0.0507,693941,0.0266
2018,R4,2,349526,1201042,1550568,0.2179,675965,0.2513
2017,R4,2,349526,923585,1273111,,540216,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Sep 21 2023 00:00:00 GMT-0400 (Eastern Daylight Time),22500000,"FOUR TOWNES (U.S.A.), INC.",PARK CONDO63B HOLDINGS LP,-,SINGLE RESIDENTIAL CONDO UNIT,2023092500827001,Tue Sep 26 2023 09:52:25 GMT-0400 (Eastern Daylight Time)
DEED,Thu Mar 24 2016 00:00:00 GMT-0400 (Eastern Daylight Time),24582962,56TH AND PARK (NY) OWNER LLC,"FOUR TOWNES (U.S.A.), INC.",-,SINGLE RESIDENTIAL CONDO UNIT,2016033100227004,Fri Apr 01 2016 11:23:33 GMT-0400 (Eastern Daylight Time)
