FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,700499,2765754,3466253,0.0114,1520338,-0.0035
2025,R4,2,700499,2726754,3427253,-0.0204,1525633,0.0026
2024,R4,2,700499,2798093,3498592,2.1858,1521690,2.1017
2023,R4,2,229001,869181,1098182,0.0694,490591,0.0616
2022,R4,2,229001,797928,1026929,-0.1089,462118,-0.0416
2021,R4,2,229001,923391,1152392,0.0419,482192,0.0261
2020,R4,2,229001,877086,1106087,0.0362,469912,0.0336
2019,R4,2,229001,838444,1067445,0.0507,454657,0.0266
2018,R4,2,229001,786896,1015897,0.2179,442881,0.2513
2017,R4,2,229001,605112,834113,,353943,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri May 17 2019 00:00:00 GMT-0400 (Eastern Daylight Time),-,PARK UNIT OWNER ONE LLC,1996 ONE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2019061200429001,Mon Jun 24 2019 08:41:06 GMT-0400 (Eastern Daylight Time)
DEED,Thu Apr 12 2018 00:00:00 GMT-0400 (Eastern Daylight Time),22000000,"432 PARK AVENUE 77A, LLC",PARK UNIT OWNER ONE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2018042301382001,Tue Apr 24 2018 09:53:10 GMT-0400 (Eastern Daylight Time)
DEED,Tue Sep 20 2016 00:00:00 GMT-0400 (Eastern Daylight Time),19629468,"56TH AND PARK (NY) OWNER, LLC",432 PARK AVENUE 77A LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016100300285001,Tue Oct 04 2016 09:17:03 GMT-0400 (Eastern Daylight Time)
