FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R5,4,2632612,8029000,10661612,-0.0541,4500615,-0.0099
2025,R5,4,2632612,8639000,11271612,0.0175,4545635,0.0013
2024,R5,4,2632612,8445000,11077612,0.0592,4539530,0.0099
2023,R5,4,2632612,7825388,10458000,0.3399,4495070,0.2798
2022,R5,4,2632612,5172388,7805000,-0.2586,3512250,-0.243
2021,R5,4,2632612,7895388,10528000,-0.004,4639552,0.0186
2020,R5,4,2632612,7938000,10570612,-0.0012,4555039,0.0389
2019,R5,4,2632612,7951000,10583612,0.0296,4384629,0.0407
2018,R5,4,2632612,7646775,10279387,0.072,4213051,0.0354
2017,R5,4,2632612,6956368,9588980,,4068860,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jun 19 2020 00:00:00 GMT-0400 (Eastern Daylight Time),38789,"56TH AND PARK (NY) OWNER, LLC",THE RESIDENTIAL BOARD OF MANAGERS OF 432 PARK COND,-,COMMERCIAL CONDO UNIT(S),2020062500876001,Fri Jul 31 2020 16:47:42 GMT-0400 (Eastern Daylight Time)
