FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,RG,4,903597,2331000,3234597,0.0247,1389337,0.0184
2025,RG,4,903597,2253000,3156597,0.0027,1364223,-0.037
2024,RG,4,903597,2244403,3148000,-0.0614,1416600,-0.0554
2023,RG,4,903597,2450403,3354000,0.194,1499630,0.1864
2022,RG,4,903597,1905403,2809000,-0.265,1264050,-0.2528
2021,RG,4,903597,2918403,3822000,0.0133,1691674,0.0057
2020,RG,4,903597,2868403,3772000,0.1014,1682061,0.127
2019,RG,4,903597,2521000,3424597,0.0169,1492450,0.0228
2018,RG,4,903597,2464193,3367790,0.0233,1459172,0.0448
2017,RG,4,903597,2387654,3291251,,1396567,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Dec 05 2016 00:00:00 GMT-0500 (Eastern Standard Time),19653378,"56TH AND PARK (NY) OWNER, LLC",MIP 57TH DEVELOPMENT ACQUISITION LLC,-,COMMERCIAL CONDO UNIT(S),2016121300425001,Wed Dec 14 2016 12:17:58 GMT-0500 (Eastern Standard Time)
