FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,RK,4,9534092,79385000,88919092,-0.0903,30268615,0.1076
2025,RK,4,9534092,88215000,97749092,0.4255,27328876,0.2043
2024,RK,4,9534092,59038000,68572092,0.4769,22693148,0.0972
2023,RK,4,9534092,36895908,46430000,0.0538,20683350,0.0432
2022,RK,4,9534092,34524908,44059000,-0.0595,19826550,-0.0386
2021,RK,4,9534092,37309908,46844000,0.013,20622528,0.0085
2020,RK,4,9534092,36706908,46241000,0.1938,20448188,0.2279
2019,RK,4,9534092,29200000,38734092,0.0357,16652815,0.0257
2018,RK,4,9534092,27865329,37399421,0.077,16235553,0.1018
2017,RK,4,9534640,25192162,34726802,,14735505,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Jun 20 2016 00:00:00 GMT-0400 (Eastern Daylight Time),411125625,"56TH AND PARK (NY) OWNER, LLC",MIP 57TH DEVELOPMENT ACQUISITION LLC,-,COMMERCIAL CONDO UNIT(S),2016062900661001,
