FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,305329,3796938,4102267,0.0632,1790300,0.0311
2025,R4,2,305329,3553265,3858594,-0.0453,1736367,-0.0366
2024,R4,2,305329,3736232,4041561,0.1351,1802291,0.1659
2023,R4,2,305329,3255241,3560570,0.2713,1545880,0.3135
2022,RR,2,305329,2495465,2800794,,1176917,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jan 26 2023 00:00:00 GMT-0500 (Eastern Standard Time),-,SMITELL LLC,SMITELL B LLC,-,COMMERCIAL CONDO UNIT(S),2023013000807001,Wed Feb 01 2023 09:52:44 GMT-0500 (Eastern Standard Time)
