FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,75199,935141,1010340,0.0631,440931,0.0311
2025,R4,2,75199,875128,950327,-0.0453,427648,-0.0366
2024,R4,2,75199,920190,995389,0.1351,443882,0.1659
2023,R4,2,75199,801728,876927,0.2713,380732,0.3135
2022,RR,2,75199,614604,689803,,289859,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jun 03 2021 00:00:00 GMT-0400 (Eastern Daylight Time),6638875,SMITELL LLC,"LAN SHI TRUST; STEVEN ZHANG, AS TRUSTEE",-,SINGLE RESIDENTIAL CONDO UNIT,2021063000654001,
