FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,87030,1082269,1169299,0.0632,510301,0.0311
2025,R4,2,87030,1012813,1099843,-0.0453,494930,-0.0366
2024,R4,2,87030,1064966,1151996,0.1351,513719,0.1659
2023,R4,2,87030,927866,1014896,0.2713,440633,0.3135
2022,RR,2,87030,711301,798331,,335464,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri May 07 2021 00:00:00 GMT-0400 (Eastern Daylight Time),8833738,SMITELL LLC,"AJS FAMILY TRUST; HUIFENG ZHU, AS TRUSTEE",-,SINGLE RESIDENTIAL CONDO UNIT,2021051201296001,Fri May 21 2021 12:47:53 GMT-0400 (Eastern Daylight Time)
