FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,76838,955531,1032369,0.0632,450543,0.0311
2025,R4,2,76838,894209,971047,-0.0453,436971,-0.0366
2024,R4,2,76838,940254,1017092,0.1351,453559,0.1659
2023,R4,2,76839,819209,896048,0.2713,389033,0.3135
2022,RK,4,76839,628005,704844,,296180,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Apr 27 2022 00:00:00 GMT-0400 (Eastern Daylight Time),6679955,SMITELL LLC,"HE, LING LING",-,SINGLE RESIDENTIAL CONDO UNIT,2022050500484001,
