FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,55041,684464,739505,0.0632,322731,0.0311
2025,R4,2,55041,640538,695579,-0.0453,313010,-0.0366
2024,R4,2,55041,673521,728562,0.1351,324893,0.1659
2023,R4,2,55041,586814,641855,0.2713,278671,0.3135
2022,RR,2,55041,449851,504892,,212159,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jun 17 2021 00:00:00 GMT-0400 (Eastern Daylight Time),7864025,SMITELL LLC,"WONG, CHUN HEI",-,SINGLE RESIDENTIAL CONDO UNIT,2021062301115001,Tue Jun 29 2021 16:07:57 GMT-0400 (Eastern Daylight Time)
