FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,132587,1648791,1781378,0.0632,777424,0.0311
2025,R4,2,132587,1542978,1675565,-0.0453,754004,-0.0366
2024,R4,2,132587,1622430,1755017,0.1351,782631,0.1659
2023,R4,2,132587,1413564,1546151,0.2713,671287,0.3135
2022,RR,2,132587,1083637,1216224,,511068,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Dec 27 2023 00:00:00 GMT-0500 (Eastern Standard Time),18077375,SMITELL LLC,217 WEST 57TH 69E LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2024010500309001,
