FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,124035,1542444,1666479,0.0632,727280,0.0311
2025,R4,2,124035,1443455,1567490,-0.0453,705371,-0.0366
2024,R4,2,124035,1517783,1641818,0.1351,732149,0.1659
2023,R4,2,124035,1322388,1446423,0.2713,627988,0.3135
2022,RR,2,124035,1013742,1137777,,478102,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jun 14 2024 00:00:00 GMT-0400 (Eastern Daylight Time),15570688,SMITELL LLC,"BECKY'S RANCH DEVELOPMENT, LTD.",-,SINGLE RESIDENTIAL CONDO UNIT,2024061900162001,
