FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,RK,4,7716000,181115000,188831000,0.0238,84973950,0.0238
2025,RK,4,7716000,176728400,184444400,0,83000000,0
2024,RK,4,7716000,176728400,184444400,0.1134,83000000,0.1134
2023,RK,4,7716000,157942391,165658391,1.4367,74546276,1.4367
2022,RK,4,7716000,60268153,67984153,3.2216,30592869,3.36
2021,RK,4,1929000,14174820,16103820,,7016701,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jan 08 2020 00:00:00 GMT-0500 (Eastern Standard Time),-,"SMITELL LLC; BROADWAY 57TH/58TH RETAIL INVESTOR, LLC","BROADWAY 57TH/58TH RETAIL INVESTOR, LLC",-,OTHER,2020010700385002,Fri Jan 10 2020 14:31:25 GMT-0500 (Eastern Standard Time)
