FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,93974,1168627,1262601,0.0632,568170,0.0632
2025,R4,2,93974,1093629,1187603,-0.0453,534421,-0.0453
2024,R4,2,93974,1149943,1243917,-0.3835,559762,-0.3773
2023,RK,4,93974,1923607,2017581,1.4367,898915,1.5106
2022,RK,4,93974,734016,827990,-0.9486,358054,-0.9489
2021,RK,4,1929000,14174820,16103820,,7012635,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jan 08 2020 00:00:00 GMT-0500 (Eastern Standard Time),-,"SMITELL LLC; BROADWAY 57TH/58TH RETAIL INVESTOR, LLC","BROADWAY 57TH/58TH RETAIL INVESTOR, LLC",-,OTHER,2020010700385002,Fri Jan 10 2020 14:31:25 GMT-0500 (Eastern Standard Time)
