FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,41596,261024,302620,0.0632,124763,0.0173
2025,R4,2,41596,243048,284644,0.0244,122644,0.0041
2024,R4,2,41596,236261,277857,0.0327,122143,0.0088
2023,R4,2,41596,227471,269067,0.0674,121080,0.0674
2022,R4,2,41596,210484,252080,,113436,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Sep 13 2022 00:00:00 GMT-0400 (Eastern Daylight Time),1320000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",FIFTYTHREE FIFTYTHREE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022091600108001,Tue Sep 20 2022 11:56:28 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
