FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,69665,437166,506831,0.0632,208954,0.0173
2025,R4,2,69665,407060,476725,0.0244,205405,0.0041
2024,R4,2,69665,395692,465357,0.0327,204568,0.0088
2023,R4,2,69665,380971,450636,0.0674,202786,0.0674
2022,R4,2,69665,352520,422185,,189983,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jul 09 2025 00:00:00 GMT-0400 (Eastern Daylight Time),2350000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",LOBATON LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2025071501061001,Wed Jul 16 2025 17:07:55 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
