FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,95773,600993,696766,0.0632,287261,0.0173
2025,R4,2,95773,559605,655378,0.0244,282383,0.0041
2024,R4,2,95773,543977,639750,0.0327,281232,0.0088
2023,R4,2,95773,523740,619513,0.0674,278781,0.0674
2022,R4,2,95773,484627,580400,,261180,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Nov 12 2020 00:00:00 GMT-0500 (Eastern Standard Time),3150000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",PLAZA 1502 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020111601569001,Fri Nov 20 2020 12:17:31 GMT-0500 (Eastern Standard Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
