FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,92829,582521,675350,0.0632,278432,0.0173
2025,R4,2,92829,542405,635234,0.0244,273704,0.0041
2024,R4,2,92829,527257,620086,0.0327,272588,0.0088
2023,R4,2,92829,507642,600471,0.0674,270212,0.0674
2022,R4,2,92829,469731,562560,,253152,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jan 09 2020 00:00:00 GMT-0500 (Eastern Standard Time),3353043,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC","INTERSIL (INDIA) INC.; MEHRA, RISHAV",-,SINGLE RESIDENTIAL CONDO UNIT,2020012101305001,Thu Mar 05 2020 10:49:12 GMT-0500 (Eastern Standard Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
