FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,143361,899620,1042981,0.0632,429997,0.0173
2025,R4,2,143361,837667,981028,0.0244,422696,0.0041
2024,R4,2,143361,814273,957634,0.0327,420973,0.0088
2023,R4,2,143361,783981,927342,0.0674,417303,0.0674
2022,R4,2,143361,725433,868794,,390957,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jun 06 2025 00:00:00 GMT-0400 (Eastern Daylight Time),4725000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",53W5332B LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2025061000695001,Wed Jun 11 2025 15:05:49 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
