FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,320819,2013205,2334024,0.0632,956168,0.0174
2025,R4,2,320819,1874564,2195383,0.0579,939830,0.0064
2024,R4,2,320819,1754423,2075242,0.8259,933859,0.8259
2023,R4,2,175706,960860,1136566,0.0674,511455,0.0674
2022,R4,2,175706,889103,1064809,,479164,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Nov 20 2020 00:00:00 GMT-0500 (Eastern Standard Time),6500000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",SMNH NYC LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020113000097005,Thu Dec 03 2020 14:17:32 GMT-0500 (Eastern Standard Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
