FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,RA,4,2446772,15441228,17888000,0.0224,0,
2025,RA,4,2446772,15049000,17495772,0.0206,0,
2024,RA,4,2446772,14696228,17143000,0.0606,0,
2023,RA,4,2446772,13717228,16164000,0.0901,0,-1
2022,RA,4,2446772,12381110,14827882,,6672547,
2021,RA,4,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART",THE MUSEUM OF MODERN ART,-,OTHER,2019123001281001,Thu Jan 02 2020 10:51:19 GMT-0500 (Eastern Standard Time)
