FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,RK,4,533249,3318751,3852000,0.0239,1628264,0.0154
2025,RK,4,533249,3229000,3762249,0.0033,1603584,0.0105
2024,RK,4,533249,3216751,3750000,0.0727,1586983,0.0099
2023,RK,4,533249,2962751,3496000,0.0818,1571482,0.0806
2022,RK,4,533249,2698340,3231589,,1454215,
2021,RK,4,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,OTHER,2019123001281002,
