FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,49675,1105322,1154997,-0.053,509371,-0.0289
2025,R4,2,49675,1169959,1219634,0.0085,524516,-0.0039
2024,R4,2,49675,1159731,1209406,0.0065,526576,0.2736
2023,R4,2,49675,1151869,1201544,0.019,413446,0.0298
2022,R4,2,49675,1129413,1179088,-0.0507,401488,0.3077
2021,R4,2,49675,1192350,1242025,0.0338,307020,0.0203
2020,R4,2,49675,1151736,1201411,0.0047,300899,0.4519
2019,R4,2,49675,1146138,1195813,0.022,207242,0.0454
2018,R4,2,49675,1120350,1170025,,198250,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Nov 14 2016 00:00:00 GMT-0500 (Eastern Standard Time),8607713,EXTELL WEST 57TH STREET LLC,ONE57 36B LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016111700667001,
