FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,24316,430414,454730,-0.0614,204628,-0.049
2025,R4,2,24316,460161,484477,-0.0316,215175,-0.0107
2024,R4,2,24316,475951,500267,0.001,217507,0.2726
2023,R4,2,24316,475476,499792,0.0002,170910,0.0282
2022,R4,2,24316,475368,499684,0.0005,166221,0.3012
2021,R4,2,24316,475119,499435,0.0142,127748,-0.0036
2020,R4,2,24316,468120,492436,-0.0004,128204,0.4297
2019,R4,2,24316,468309,492625,0.003,89675,0.0324
2018,R4,2,24316,466828,491144,-0.0503,86864,0.8749
2017,R4,2,24316,492839,517155,0.1943,46331,0.0415
2016,R4,2,24316,408698,433014,0.0447,44483,4.199
2015,R4,2,24316,390181,414497,,8556,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Jul 26 2021 00:00:00 GMT-0400 (Eastern Daylight Time),2925000,"SAMUEL J. PARK, LLC",DOUBLE ONE IN MANHATTAN LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021082300984001,Thu Aug 26 2021 13:49:34 GMT-0400 (Eastern Daylight Time)
DEED,Mon Feb 09 2015 00:00:00 GMT-0500 (Eastern Standard Time),3226261,EXTELL WEST 57TH STREET LLC,"SAMUEL J. PARK, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2015021300512002,Wed Feb 25 2015 10:23:47 GMT-0500 (Eastern Standard Time)
