FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,32192,569821,602013,-0.0614,270905,-0.049
2025,R4,2,32192,609202,641394,-0.0316,284868,-0.0107
2024,R4,2,32192,630107,662299,0.001,287955,0.2726
2023,R4,2,32192,629478,661670,0.0002,226267,0.0282
2022,R4,2,32192,629334,661526,0.0005,220058,0.3012
2021,R4,2,32192,629005,661197,0.0142,169125,-0.0036
2020,R4,2,32192,619739,651931,-0.0004,169728,0.4296
2019,R4,2,32192,619990,652182,0.003,118722,0.0324
2018,R4,2,32192,618029,650221,-0.0503,114998,0.8749
2017,R4,2,32192,652464,684656,0.1943,61336,0.0415
2016,R4,2,32192,541071,573263,0.0447,58890,4.1995
2015,R4,2,32192,516557,548749,,11326,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed May 18 2022 00:00:00 GMT-0400 (Eastern Daylight Time),4100000,"MANHATTAN CONDO 39E, LLC",157-39E LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022052000576001,Wed Jun 01 2022 14:04:13 GMT-0400 (Eastern Daylight Time)
DEED,Thu Feb 26 2015 00:00:00 GMT-0500 (Eastern Standard Time),4575424,EXTELL WEST 57TH STREET LLC,"MANHATTAN CONDO 39E, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2015030700072001,
