FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,79056,1399340,1478396,-0.0614,665278,-0.049
2025,R4,2,79056,1496051,1575107,-0.0316,699571,-0.0107
2024,R4,2,79056,1547387,1626443,0.0009,707151,0.2726
2023,R4,2,79056,1545844,1624900,0.0002,555657,0.0282
2022,R4,2,79056,1545491,1624547,0.0005,540411,0.3012
2021,R4,2,79056,1544682,1623738,0.0142,415329,-0.0036
2020,R4,2,79056,1521926,1600982,-0.0004,416810,0.4296
2019,R4,2,79056,1522543,1601599,0.003,291553,0.0324
2018,R4,2,79056,1517728,1596784,-0.0503,282409,0.8749
2017,R4,2,79056,1602292,1681348,0.1943,150627,0.0415
2016,R4,2,79056,1328737,1407793,0.0447,144619,4.1993
2015,R4,2,79056,1268537,1347593,,27815,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jun 01 2018 00:00:00 GMT-0400 (Eastern Daylight Time),14869950,EXTELL WEST 57TH STREET LLC,ORANGE MILLENNIUM CORP.,-,SINGLE RESIDENTIAL CONDO UNIT,2018060801050001,
