FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,50104,886864,936968,-0.0614,421636,-0.049
2025,R4,2,50104,948157,998261,-0.0316,443370,-0.0107
2024,R4,2,50104,980692,1030796,0.0009,448174,0.2726
2023,R4,2,50104,979714,1029818,0.0002,352161,0.0282
2022,R4,2,50104,979490,1029594,0.0005,342498,0.3012
2021,R4,2,50104,978978,1029082,0.0142,263224,-0.0036
2020,R4,2,50104,964556,1014660,-0.0004,264165,0.4296
2019,R4,2,50104,964947,1015051,0.003,184778,0.0324
2018,R4,2,50104,961895,1011999,-0.0503,178982,0.8749
2017,R4,2,50104,1015489,1065593,0.1943,95463,0.0415
2016,R4,2,50104,842118,892222,0.0447,91656,4.1995
2015,R4,2,50104,803964,854068,,17628,
,,,,,,,,
DEED,Tue Sep 22 2015 00:00:00 GMT-0400 (Eastern Daylight Time),8475000,44B LLC,MOWGLI HOLDINGS LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2015092500010001,Thu Oct 01 2015 16:16:32 GMT-0400 (Eastern Daylight Time)
DEED,Thu Apr 24 2014 00:00:00 GMT-0400 (Eastern Daylight Time),7029425,EXTELL WEST 57TH STREET LLC,44B LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2014050501006001,Wed May 07 2014 11:38:05 GMT-0400 (Eastern Daylight Time)
