FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,381801,6758096,7139897,-0.0614,3212953,-0.049
2025,R4,2,381801,7225159,7606960,-0.0316,3378577,-0.0107
2024,R4,2,381801,7473085,7854886,0.0009,3415186,0.2726
2023,R4,2,381801,7465631,7847432,0.0002,2683548,0.0282
2022,R4,2,381801,7463928,7845729,0.0005,2609918,0.3012
2021,R4,2,381801,7460020,7841821,0.0142,2005835,-0.0036
2020,R4,2,381801,7350123,7731924,-0.0004,2012985,0.4296
2019,R4,2,381801,7353102,7734903,0.003,1408052,0.0324
2018,R4,2,381801,7329846,7711647,-0.0503,1363889,0.8749
2017,R4,2,381801,7738246,8120047,0.1943,727448,0.0415
2016,R4,2,381801,6417119,6798920,0.0447,698435,4.1994
2015,R4,2,381801,6126379,6508180,,134331,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Dec 23 2014 00:00:00 GMT-0500 (Eastern Standard Time),100471453,EXTELL WEST 57TH STREET LLC,"P89-90, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2014122400563001,Fri Jan 16 2015 16:49:58 GMT-0500 (Eastern Standard Time)
