FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,RG,4,186190,4683000,4869190,0.0155,2059822,0.0344
2025,RG,4,186190,4608529,4794719,0.0176,1991315,0.0736
2024,RG,4,186190,4525810,4712000,0.0175,1854790,0.3309
2023,RG,4,186190,4444810,4631000,0.1936,1393670,0.0608
2022,RG,4,186190,3693810,3880000,-0.0555,1313750,0.3421
2021,RG,4,186190,3921810,4108000,0.0061,978847,-0.0237
2020,RG,4,186190,3896810,4083000,0.0985,1002578,0.5249
2019,RG,4,186190,3530810,3717000,0.0557,657490,0.0307
2018,RG,4,186190,3334810,3521000,0.0185,637934,0.8466
2017,RG,4,186190,3270810,3457000,0.0466,345471,0.015
2016,RG,4,186190,3116810,3303000,0.0407,340374,4.1959
2015,RG,4,186190,2987599,3173789,,65508,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jul 22 2016 00:00:00 GMT-0400 (Eastern Daylight Time),-,EXTELL 57 R&G LLC,EXTELL 57 GARAGE LLC,-,PARKING SPACE,2016080100967004,Mon Aug 08 2016 11:38:51 GMT-0400 (Eastern Daylight Time)
DEED,Tue Sep 30 2014 00:00:00 GMT-0400 (Eastern Daylight Time),19835820,EXTELL WEST 57TH STREET LLC,EXTELL 57 R&G LLC,-,COMMERCIAL CONDO UNIT(S),2014100301214001,Tue Oct 21 2014 10:18:38 GMT-0400 (Eastern Daylight Time)
