FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,RH,4,6935578,124930000,131865578,0.0895,51418942,-0.0026
2025,RH,4,6935578,114100422,121036000,0.0354,51551040,-0.02
2024,RH,4,6935578,109964422,116900000,0.1515,52605000,0.1515
2023,RH,4,6935578,94584422,101520000,-0.1031,45684000,-0.1031
2022,RH,4,6935578,106257422,113193000,-0.2077,50936850,-0.1688
2021,RH,4,6935578,135939422,142875000,0.0251,61282410,0.0229
2020,RH,4,6935578,132438422,139374000,-0.0745,59910127,-0.0161
2019,RH,4,6935578,143659422,150595000,0.0254,60893427,0.0485
2018,RH,4,6935578,139935422,146871000,0.0013,58074898,0.0208
2017,RH,4,6935578,139737422,146673000,0.1492,56892098,0.0453
2016,RH,4,6935578,120691844,127627422,0.07,54426548,0.014
2015,RH,4,6935578,112342422,119278000,,53674426,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Aug 05 2014 00:00:00 GMT-0400 (Eastern Daylight Time),368571302,EXTELL WEST 57TH STREET LLC,"PH NEW YORK, L.L.C.",-,COMMERCIAL REAL ESTATE,2014080800851001,
