FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,RK,4,139642,12260000,12399642,0.0268,5227013,0.0142
2025,RK,4,139642,11936000,12075642,0.042,5154055,0.0122
2024,RK,4,139642,11449000,11588642,0.0015,5091987,0.2442
2023,RK,4,139643,11431357,11571000,0.0512,4092658,0.1582
2022,RK,4,139643,10867357,11007000,-0.0502,3533578,0.5544
2021,RK,4,139643,11449357,11589000,0.0178,2273234,0.267
2020,RK,4,139643,11246357,11386000,0.0209,1794254,1.0198
2019,RK,4,139643,11013357,11153000,1.9304,888343,0.5516
2018,RK,4,139643,3666357,3806000,0.0018,572527,1.0077
2017,RK,4,139643,3659357,3799000,0.3972,285168,0.0984
2016,RK,4,139643,2579357,2719000,0.1423,259632,4.2845
2015,RK,4,139643,2240699,2380342,,49131,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Sep 30 2014 00:00:00 GMT-0400 (Eastern Daylight Time),19835820,EXTELL WEST 57TH STREET LLC,EXTELL 57 R&G LLC,-,COMMERCIAL CONDO UNIT(S),2014100301214001,Tue Oct 21 2014 10:18:38 GMT-0400 (Eastern Daylight Time)
