FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,425997,1678673,2104670,0.0239,0,-1
2025,R4,2,425997,1629574,2055571,0.0244,925007,0.0244
2024,R4,2,425997,1580561,2006558,0.0429,902951,0.1822
2023,R4,2,425997,1498044,1924041,0.1967,763814,0.3404
2022,R4,2,425997,1181801,1607798,,569858,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jun 27 2024 00:00:00 GMT-0400 (Eastern Daylight Time),6634875,111 WEST 57TH PROPERTY OWNER LLC,"HIS MAJESTY THE KING IN RIGHT OF CANADA, REPRESENT",-,SINGLE RESIDENTIAL CONDO UNIT,2024070300627001,Tue Jul 09 2024 11:56:52 GMT-0400 (Eastern Daylight Time)
