FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,97482,384134,481616,0.0239,212254,0.0028
2025,R4,2,97482,372898,470380,0.0244,211671,0.0244
2024,R4,2,97482,361683,459165,0.0429,206624,0.1822
2023,R4,2,97482,342800,440282,0.1967,174785,0.3404
2022,R4,2,97482,270434,367916,,130400,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Apr 15 2020 00:00:00 GMT-0400 (Eastern Daylight Time),2117806,111 WEST 57TH PROPERTY OWNER LLC,111 WEST 57TH STREET #47 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020042300215001,
