FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,128292,505543,633835,0.0239,279339,0.0028
2025,R4,2,128292,490757,619049,0.0244,278572,0.0244
2024,R4,2,128292,475996,604288,0.0429,271929,0.1822
2023,R4,2,128292,451146,579438,0.1967,230026,0.3404
2022,R4,2,128292,355907,484199,,171614,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Jun 02 2020 00:00:00 GMT-0400 (Eastern Daylight Time),2792652,111 WEST 57TH PROPERTY OWNER LLC,W57 2020 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020061600901001,
