FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,543935,2143418,2687353,0.0239,1193819,0.0108
2025,R4,2,543935,2080725,2624660,0.0244,1181097,0.0244
2024,R4,2,543935,2018143,2562078,0.1668,1152935,0.3227
2023,R4,2,486155,1709597,2195752,0.1967,871681,0.3404
2022,R4,2,486155,1348695,1834850,,650332,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Nov 08 2023 00:00:00 GMT-0500 (Eastern Standard Time),13085981,111 WEST 57TH PROPERTY OWNER LLC,STAND ON MOUNTAINS HOLDING USA LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023111400706001,Thu Nov 16 2023 14:23:42 GMT-0500 (Eastern Standard Time)
