FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,353606,1393411,1747017,0.0239,769937,0.0028
2025,R4,2,353606,1352655,1706261,0.0244,767818,0.0244
2024,R4,2,353606,1311971,1665577,0.0429,749510,0.1822
2023,R4,2,353606,1243476,1597082,0.1967,634017,0.3404
2022,R4,2,353606,980974,1334580,,473019,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Jul 27 2020 00:00:00 GMT-0400 (Eastern Daylight Time),8111561,111 WEST 57TH PROPERTY OWNER LLC,"GONG MANHATTAN HOLDING, LLC",-,BULK SALE OF CONDOMINIUMS,2020073100585002,
