FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,600294,2365508,2965802,0.0239,1307076,0.0028
2025,R4,2,600294,2296320,2896614,0.0244,1303476,0.0244
2024,R4,2,600294,2227252,2827546,0.0429,1272395,0.1822
2023,R4,2,600294,2110974,2711268,0.1967,1076333,0.3404
2022,R4,2,600294,1665339,2265633,,803017,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jun 06 2025 00:00:00 GMT-0400 (Eastern Daylight Time),20400000,BTAG REALTY LLC,JPY HOLDING LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2025061200344001,Mon Jun 16 2025 09:55:44 GMT-0400 (Eastern Daylight Time)
DEED,Thu Oct 13 2022 00:00:00 GMT-0400 (Eastern Daylight Time),26525594,111 WEST 57TH PROPERTY OWNER LLC,BTAG REALTY LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022101400613001,Tue Oct 18 2022 12:11:01 GMT-0400 (Eastern Daylight Time)
