FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,558254,2199845,2758099,0.0239,1215538,0.0028
2025,R4,2,558254,2135502,2693756,0.0244,1212190,0.0244
2024,R4,2,558254,2071272,2629526,0.0429,1183286,0.1822
2023,R4,2,558254,1963137,2521391,0.1967,1000953,0.3404
2022,R4,2,558254,1548711,2106965,,746778,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Nov 12 2024 00:00:00 GMT-0500 (Eastern Standard Time),17500000,111 WEST 57TH PROPERTY OWNER LLC,SOFIVIA LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2024111900031005,Fri Nov 22 2024 14:13:44 GMT-0500 (Eastern Standard Time)
