FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,988008,3893324,4881332,0.0239,2151281,0.0028
2025,R4,2,988008,3779449,4767457,0.0244,2145356,0.0244
2024,R4,2,988008,3665773,4653781,0.0429,2094202,0.1822
2023,R4,2,988008,3474393,4462401,0.1967,1771508,0.3404
2022,R4,2,988008,2740936,3728944,,1321665,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Feb 17 2023 00:00:00 GMT-0500 (Eastern Standard Time),47200000,111 WEST 57TH PROPERTY OWNER LLC,111 WEST 57TH STREET REAL ESTATE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023022400416006,Fri Mar 03 2023 15:15:17 GMT-0500 (Eastern Standard Time)
