FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,1107491,4364156,5471647,0.0239,2411444,0.0028
2025,R4,2,1107491,4236509,5344000,0.0244,2404800,0.0244
2024,R4,2,1107491,4109086,5216577,0.0429,2347460,0.1822
2023,R4,2,1107491,3894562,5002053,0.1967,1985741,0.3404
2022,R4,2,1107491,3072406,4179897,,1481498,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Apr 14 2025 00:00:00 GMT-0400 (Eastern Daylight Time),46900000,111 WEST 57TH PROPERTY OWNER LLC,PIANO SIX LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2025041700394001,
